COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,State fips
5031,0.078,0.123,0.138,0.341,0.32,5
5033,0.155,0.1,0.167,0.211,0.367,5
5035,0.059,0.017,0.11,0.306,0.508,5
5037,0.097,0.017,0.163,0.319,0.404,5
5039,0.197,0.055,0.093,0.196,0.459,5
5041,0.078,0.033,0.19,0.189,0.509,5
5043,0.063,0.049,0.207,0.159,0.523,5
5045,0.066,0.027,0.077,0.403,0.426,5
5047,0.149,0.079,0.245,0.187,0.34,5
5049,0.105,0.121,0.226,0.197,0.351,5
5051,0.025,0.102,0.068,0.21,0.596,5
5053,0.082,0.043,0.127,0.258,0.489,5
5055,0.062,0.141,0.154,0.346,0.297,5
5057,0.098,0.073,0.096,0.179,0.554,5
5059,0.059,0.086,0.079,0.216,0.56,5
5061,0.081,0.07,0.145,0.145,0.56,5
5063,0.137,0.156,0.088,0.179,0.44,5
5065,0.086,0.121,0.133,0.23,0.43,5
5067,0.116,0.103,0.135,0.179,0.468,5
5069,0.042,0.036,0.172,0.173,0.577,5
5071,0.144,0.103,0.205,0.221,0.328,5
5073,0.12,0.082,0.078,0.234,0.486,5
5075,0.085,0.128,0.153,0.298,0.337,5
5077,0.103,0.032,0.195,0.263,0.407,5
5079,0.035,0.016,0.194,0.201,0.554,5
5081,0.074,0.121,0.106,0.201,0.499,5
5083,0.148,0.11,0.12,0.143,0.479,5
5085,0.048,0.045,0.136,0.297,0.474,5
5087,0.075,0.088,0.159,0.114,0.564,5
5089,0.171,0.112,0.119,0.108,0.49,5
5091,0.064,0.124,0.106,0.219,0.487,5
5093,0.033,0.109,0.134,0.284,0.44,5
5095,0.068,0.128,0.127,0.271,0.406,5
5097,0.081,0.095,0.136,0.166,0.521,5
5099,0.143,0.048,0.084,0.224,0.501,5
5101,0.107,0.14,0.084,0.261,0.408,5
5103,0.151,0.097,0.06,0.242,0.449,5
5105,0.098,0.051,0.08,0.367,0.404,5
5107,0.052,0.061,0.134,0.276,0.477,5
5109,0.064,0.061,0.2,0.176,0.501,5
5111,0.077,0.098,0.141,0.287,0.397,5
5113,0.18,0.08,0.217,0.076,0.446,5
5115,0.082,0.151,0.181,0.285,0.302,5
5117,0.062,0.17,0.103,0.273,0.391,5
5119,0.028,0.027,0.126,0.175,0.644,5
5121,0.051,0.145,0.203,0.289,0.311,5
5123,0.087,0.007,0.289,0.267,0.35,5
5125,0.066,0.044,0.154,0.212,0.524,5
5127,0.155,0.14,0.124,0.123,0.458,5
5129,0.1,0.088,0.125,0.149,0.538,5
5131,0.121,0.142,0.157,0.208,0.372,5
5133,0.12,0.093,0.155,0.165,0.467,5
5135,0.067,0.158,0.22,0.222,0.333,5
5137,0.067,0.092,0.11,0.234,0.498,5
5139,0.116,0.179,0.098,0.262,0.344,5
5141,0.033,0.06,0.096,0.272,0.539,5
5143,0.034,0.028,0.101,0.186,0.651,5
5145,0.026,0.054,0.152,0.277,0.491,5
5147,0.059,0.048,0.208,0.231,0.454,5
5149,0.116,0.1,0.112,0.198,0.474,5
6001,0.019,0.008,0.055,0.123,0.795,6
6003,0.025,0.085,0.088,0.19,0.612,6
6005,0.045,0.013,0.099,0.188,0.655,6
6007,0.015,0.043,0.111,0.204,0.626,6
6009,0.045,0.019,0.098,0.276,0.562,6
6011,0.027,0.031,0.092,0.151,0.7,6
6013,0.018,0.016,0.039,0.121,0.806,6
6015,0.01,0.135,0.112,0.196,0.547,6
6017,0.028,0.042,0.072,0.183,0.675,6
6019,0.021,0.022,0.059,0.156,0.741,6
6021,0.028,0.026,0.146,0.206,0.594,6
6023,0.042,0.006,0.018,0.069,0.865,6
6025,0.001,0.005,0.03,0.128,0.836,6
6027,0.033,0.011,0.008,0.058,0.889,6
6029,0.022,0.028,0.105,0.177,0.668,6
6031,0.075,0.016,0.049,0.094,0.766,6
6033,0.003,0.004,0.007,0.136,0.849,6
6035,0.064,0.068,0.162,0.225,0.482,6
6037,0.021,0.013,0.049,0.131,0.786,6
6039,0.019,0.059,0.048,0.124,0.751,6
6041,0.011,0,0.046,0.141,0.802,6
6043,0.01,0.094,0.049,0.186,0.661,6
6045,0.002,0.003,0.004,0.222,0.77,6
6047,0.026,0.036,0.089,0.146,0.703,6
6049,0.068,0.019,0.095,0.204,0.615,6
6051,0.011,0.026,0.012,0.07,0.88,6
6053,0.023,0.006,0.066,0.141,0.763,6
6055,0.017,0.026,0.033,0.149,0.773,6
6057,0.003,0.054,0.084,0.177,0.682,6
6059,0.023,0.021,0.046,0.156,0.754,6
6061,0.012,0.023,0.072,0.201,0.693,6
6063,0.063,0.067,0.053,0.146,0.671,6
6065,0.026,0.014,0.041,0.116,0.803,6
6067,0.025,0.028,0.062,0.164,0.722,6
6069,0.018,0.004,0.063,0.175,0.739,6
6071,0.027,0.022,0.048,0.134,0.768,6
6073,0.017,0.023,0.034,0.126,0.8,6
6075,0.017,0.011,0.035,0.121,0.817,6
6077,0.054,0.019,0.081,0.165,0.68,6
6079,0.025,0.024,0.037,0.169,0.745,6
6081,0.016,0.013,0.058,0.126,0.786,6
6083,0.015,0.02,0.075,0.153,0.737,6
6085,0.015,0.014,0.04,0.168,0.764,6
6087,0.008,0,0.086,0.109,0.797,6
6089,0.095,0.056,0.071,0.232,0.547,6
6091,0.14,0.053,0.047,0.143,0.617,6
6093,0.132,0.074,0.082,0.167,0.546,6
6095,0.043,0.046,0.035,0.148,0.728,6
6097,0.022,0.012,0.022,0.149,0.795,6
6099,0.032,0.028,0.062,0.173,0.705,6
6101,0.058,0.031,0.08,0.163,0.669,6
6103,0.057,0.062,0.141,0.195,0.545,6
6105,0.081,0.07,0.055,0.201,0.592,6
6107,0.025,0.039,0.115,0.136,0.685,6
6109,0.008,0.043,0.084,0.212,0.653,6
6111,0.024,0.011,0.033,0.156,0.777,6
6113,0.007,0.005,0.04,0.156,0.791,6
6115,0.057,0.035,0.071,0.167,0.669,6
8001,0.032,0.027,0.071,0.185,0.685,8
8003,0.052,0.133,0.094,0.228,0.493,8
8005,0.013,0.026,0.065,0.193,0.703,8
8007,0.041,0.041,0.155,0.276,0.488,8
8009,0.113,0.053,0.194,0.206,0.435,8
8011,0.033,0.036,0.172,0.191,0.567,8
8013,0.008,0.015,0.032,0.195,0.75,8
8014,0.018,0.005,0.042,0.201,0.734,8
8015,0.038,0.045,0.134,0.138,0.645,8
8017,0.016,0.187,0.106,0.398,0.292,8
8019,0.002,0.015,0.138,0.123,0.723,8
8021,0.06,0.106,0.093,0.195,0.545,8
8023,0.034,0.072,0.076,0.175,0.644,8
8025,0.002,0.034,0.08,0.294,0.59,8
8027,0.017,0.098,0.153,0.234,0.498,8
8029,0.087,0.094,0.074,0.295,0.45,8
8031,0.02,0.018,0.062,0.194,0.707,8
8033,0.052,0.039,0.066,0.252,0.591,8
8035,0.013,0.041,0.081,0.192,0.673,8
8037,0.008,0.003,0.033,0.269,0.687,8
8039,0.016,0.044,0.19,0.246,0.505,8
8041,0.031,0.089,0.081,0.196,0.603,8
8043,0.006,0.069,0.062,0.2,0.663,8
8045,0.065,0.04,0.037,0.326,0.532,8
8047,0.001,0.027,0.017,0.17,0.785,8
8049,0.006,0.002,0.05,0.187,0.754,8
8051,0.057,0.039,0.043,0.281,0.581,8
8053,0.043,0.05,0.117,0.271,0.519,8
8055,0.028,0.051,0.051,0.275,0.595,8
8057,0.021,0.027,0.09,0.342,0.52,8
8059,0.028,0.031,0.075,0.194,0.673,8
8061,0.028,0.051,0.159,0.27,0.492,8
8063,0.024,0.323,0.119,0.344,0.19,8
8065,0.002,0.016,0.036,0.193,0.753,8
8067,0.043,0.02,0.122,0.274,0.541,8
8069,0.013,0.037,0.06,0.231,0.659,8
8071,0.052,0.03,0.101,0.17,0.648,8
8073,0.013,0.068,0.196,0.403,0.321,8
8075,0.078,0.202,0.101,0.368,0.251,8
8077,0.075,0.105,0.098,0.222,0.499,8
8079,0.049,0.072,0.138,0.264,0.478,8
8081,0.041,0.142,0.162,0.284,0.371,8
8083,0.057,0.019,0.081,0.257,0.586,8
8085,0.085,0.092,0.074,0.314,0.436,8
8087,0.083,0.161,0.116,0.245,0.396,8
8089,0.004,0.047,0.102,0.194,0.653,8
8091,0.06,0.08,0.069,0.295,0.495,8
8093,0.021,0.018,0.103,0.137,0.722,8
8095,0.05,0.19,0.137,0.255,0.368,8
8097,0.019,0.014,0.016,0.318,0.633,8
8099,0.079,0.046,0.205,0.201,0.469,8
8101,0.018,0.044,0.074,0.28,0.584,8
8103,0.111,0.092,0.074,0.265,0.458,8
8105,0.061,0.144,0.11,0.242,0.444,8
8107,0.008,0.036,0.092,0.375,0.489,8
8109,0.065,0.122,0.138,0.232,0.443,8
8111,0.032,0.038,0.097,0.27,0.563,8
8113,0.043,0.058,0.074,0.26,0.565,8
8115,0.065,0.162,0.138,0.267,0.368,8
8117,0,0.001,0.064,0.151,0.784,8
8119,0.105,0.087,0.066,0.145,0.597,8
8121,0.077,0.208,0.101,0.303,0.31,8
8123,0.046,0.038,0.135,0.231,0.55,8
8125,0.038,0.284,0.133,0.255,0.29,8
9001,0.027,0.019,0.06,0.114,0.78,9
9003,0.015,0.023,0.065,0.13,0.767,9
9005,0.017,0.051,0.021,0.098,0.812,9
9007,0.003,0.007,0.055,0.128,0.807,9
9009,0.023,0.014,0.053,0.115,0.795,9
9011,0.025,0.021,0.066,0.142,0.747,9
9013,0.008,0.008,0.027,0.147,0.81,9
9015,0.022,0.041,0.082,0.137,0.718,9
10001,0.026,0.006,0.106,0.051,0.811,10
10003,0.027,0.013,0.041,0.133,0.786,10
10005,0.005,0.001,0.035,0.103,0.856,10
11001,0.012,0.013,0.069,0.164,0.743,11
12001,0.001,0.024,0.053,0.17,0.751,12
12003,0.087,0.076,0.18,0.215,0.442,12
12005,0.065,0.109,0.076,0.202,0.548,12
12007,0.106,0.168,0.172,0.173,0.381,12
12009,0.068,0.073,0.096,0.157,0.607,12
12011,0.026,0.023,0.043,0.117,0.791,12
12013,0.034,0.055,0.138,0.267,0.507,12
12015,0.051,0.049,0.101,0.158,0.64,12
12017,0.09,0.036,0.087,0.178,0.609,12
12019,0.055,0.067,0.15,0.209,0.52,12
12021,0.04,0.023,0.067,0.212,0.658,12
12023,0.047,0.026,0.288,0.254,0.385,12
12027,0.023,0.064,0.056,0.142,0.715,12
12029,0.071,0.095,0.119,0.318,0.397,12
12031,0.049,0.042,0.086,0.194,0.629,12
12033,0.019,0.052,0.095,0.31,0.524,12
12035,0.079,0.05,0.113,0.157,0.602,12
12037,0.022,0.101,0.237,0.228,0.412,12
12039,0.06,0.033,0.104,0.227,0.575,12
12041,0.016,0.151,0.069,0.324,0.44,12
12043,0.047,0.082,0.098,0.096,0.677,12
12045,0.046,0.125,0.12,0.249,0.46,12
12047,0.101,0.071,0.235,0.227,0.365,12
12049,0.114,0.041,0.179,0.186,0.48,12
12051,0.046,0.042,0.112,0.15,0.65,12
12053,0.09,0.04,0.091,0.19,0.589,12
12055,0.025,0.056,0.145,0.138,0.635,12
12057,0.023,0.031,0.069,0.155,0.722,12
12059,0.17,0.077,0.081,0.111,0.562,12
12061,0.054,0.065,0.082,0.193,0.607,12
12063,0.064,0.108,0.129,0.174,0.526,12
12065,0.019,0.017,0.099,0.183,0.682,12
12067,0.102,0.081,0.22,0.208,0.389,12
12069,0.047,0.062,0.074,0.185,0.632,12
12071,0.052,0.05,0.073,0.176,0.648,12
12073,0.051,0.022,0.071,0.156,0.7,12
12075,0.017,0.132,0.072,0.187,0.592,12
12077,0.022,0.023,0.205,0.268,0.482,12
12079,0.164,0.085,0.148,0.264,0.34,12
12081,0.074,0.037,0.062,0.201,0.626,12
12083,0.046,0.087,0.121,0.203,0.543,12
12085,0.027,0.018,0.066,0.169,0.719,12
12086,0.032,0.023,0.06,0.128,0.756,12
12087,0.007,0.001,0.014,0.159,0.819,12
12089,0.09,0.07,0.147,0.223,0.47,12
12091,0.091,0.083,0.147,0.21,0.469,12
12093,0.016,0.034,0.064,0.171,0.715,12
12095,0.02,0.02,0.072,0.164,0.724,12
12097,0.025,0.022,0.058,0.176,0.72,12
12099,0.03,0.02,0.05,0.116,0.784,12
12101,0.027,0.029,0.055,0.179,0.709,12
12103,0.025,0.019,0.074,0.133,0.75,12
12105,0.05,0.063,0.085,0.172,0.63,12
12107,0.068,0.05,0.114,0.186,0.581,12
12109,0.047,0.071,0.097,0.223,0.561,12
12111,0.077,0.022,0.08,0.173,0.648,12
12113,0.047,0.068,0.166,0.265,0.453,12
12115,0.017,0.031,0.073,0.175,0.704,12
12117,0.037,0.039,0.066,0.141,0.717,12
12119,0.037,0.036,0.064,0.235,0.628,12
12121,0.105,0.055,0.244,0.227,0.369,12
12123,0.103,0.086,0.19,0.145,0.476,12
12125,0.044,0.04,0.176,0.267,0.473,12
12127,0.035,0.066,0.089,0.192,0.618,12
12129,0.032,0.092,0.172,0.275,0.429,12
12131,0.092,0.06,0.092,0.244,0.512,12
12133,0.138,0.085,0.062,0.158,0.557,12
13001,0.085,0.117,0.23,0.152,0.416,13
13003,0.059,0.1,0.179,0.217,0.445,13
13005,0.071,0.132,0.187,0.188,0.421,13
13007,0.027,0.048,0.054,0.127,0.743,13
13009,0.02,0.089,0.107,0.29,0.494,13
13011,0.136,0.103,0.125,0.238,0.399,13
13013,0.063,0.086,0.092,0.19,0.568,13
13015,0.215,0.05,0.123,0.143,0.47,13
13017,0.129,0.078,0.109,0.202,0.483,13
13019,0.073,0.098,0.156,0.214,0.46,13
13021,0.043,0.094,0.176,0.201,0.487,13
13023,0.089,0.031,0.117,0.256,0.508,13
13025,0.047,0.129,0.15,0.164,0.51,13
13027,0.092,0.165,0.124,0.235,0.385,13
13029,0.033,0.039,0.095,0.238,0.595,13
13031,0.053,0.049,0.163,0.31,0.424,13
13033,0.105,0.109,0.087,0.208,0.492,13
13035,0.125,0.037,0.144,0.163,0.53,13
13037,0.013,0.035,0.043,0.172,0.737,13
13039,0.136,0.125,0.17,0.113,0.456,13
13043,0.037,0.045,0.177,0.264,0.477,13
13045,0.089,0.133,0.154,0.168,0.457,13
13047,0.143,0.152,0.114,0.217,0.375,13
13049,0.065,0.094,0.15,0.196,0.495,13
13051,0.035,0.04,0.144,0.158,0.624,13
13053,0.061,0.072,0.108,0.214,0.545,13
13055,0.116,0.102,0.187,0.143,0.451,13
13057,0.049,0.054,0.1,0.213,0.584,13
13059,0.054,0.057,0.06,0.226,0.603,13
13061,0.028,0.066,0.12,0.223,0.562,13
13063,0.038,0.054,0.125,0.159,0.624,13
13065,0.06,0.058,0.134,0.168,0.58,13
13067,0.039,0.049,0.116,0.225,0.572,13
13069,0.085,0.124,0.164,0.222,0.404,13
13071,0.108,0.191,0.074,0.233,0.394,13
13073,0.061,0.064,0.095,0.234,0.547,13
13075,0.098,0.134,0.123,0.203,0.441,13
13077,0.105,0.053,0.183,0.204,0.455,13
13079,0.057,0.051,0.231,0.192,0.468,13
13081,0.119,0.023,0.06,0.163,0.635,13
13083,0.128,0.222,0.13,0.249,0.27,13
13085,0.049,0.09,0.128,0.162,0.571,13
13087,0.093,0.04,0.171,0.18,0.516,13
13089,0.036,0.028,0.075,0.156,0.704,13
13091,0.145,0.025,0.15,0.236,0.443,13
13093,0.077,0.034,0.058,0.204,0.627,13
13095,0.033,0.037,0.045,0.159,0.726,13
13097,0.083,0.037,0.09,0.198,0.591,13
13099,0.045,0.062,0.156,0.253,0.485,13
13101,0.097,0.073,0.182,0.202,0.446,13
13103,0.044,0.064,0.145,0.272,0.475,13
13105,0.132,0.177,0.081,0.107,0.503,13
